experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
0,RUN_1,split 80/20,0.2,21,0.01,25,0.5,0.6,0.06383,0.115385,0.38345,0.377622,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
1,RUN_1,split 80/20,0.2,21,0.01,50,0.5,0.6,0.06383,0.115385,0.38345,0.377622,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
2,RUN_1,split 80/20,0.2,21,0.01,75,0.5,0.6,0.06383,0.115385,0.38345,0.377622,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
3,RUN_1,split 80/20,0.2,21,0.01,100,0.51087,0.666667,0.085106,0.150943,0.403716,0.398221,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
4,RUN_1,split 80/20,0.2,21,0.05,25,0.652174,0.857143,0.382979,0.529412,0.626775,0.624658,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
5,RUN_1,split 80/20,0.2,21,0.05,50,0.717391,0.862069,0.531915,0.657895,0.708577,0.707475,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
6,RUN_1,split 80/20,0.2,21,0.05,75,0.836957,0.921053,0.744681,0.823529,0.836007,0.835736,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
7,RUN_1,split 80/20,0.2,21,0.05,100,0.815217,0.96875,0.659574,0.78481,0.811453,0.810873,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
8,RUN_1,split 80/20,0.2,21,0.001,25,0.51087,0.666667,0.085106,0.150943,0.403716,0.398221,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
9,RUN_1,split 80/20,0.2,21,0.001,50,0.51087,0.666667,0.085106,0.150943,0.403716,0.398221,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
10,RUN_1,split 80/20,0.2,21,0.001,75,0.51087,0.666667,0.085106,0.150943,0.403716,0.398221,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
11,RUN_1,split 80/20,0.2,21,0.001,100,0.51087,0.666667,0.085106,0.150943,0.403716,0.398221,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
12,RUN_2,split 70/30,0.3,21,0.01,25,0.507246,1.0,0.028571,0.055556,0.361111,0.356683,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
13,RUN_2,split 70/30,0.3,21,0.01,50,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
14,RUN_2,split 70/30,0.3,21,0.01,75,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
15,RUN_2,split 70/30,0.3,21,0.01,100,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
16,RUN_2,split 70/30,0.3,21,0.05,25,0.862319,0.84,0.9,0.868966,0.861964,0.862065,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
17,RUN_2,split 70/30,0.3,21,0.05,50,0.84058,0.887097,0.785714,0.833333,0.840278,0.840177,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
18,RUN_2,split 70/30,0.3,21,0.05,75,0.905797,0.901408,0.914286,0.907801,0.905753,0.905782,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
19,RUN_2,split 70/30,0.3,21,0.05,100,0.927536,0.916667,0.942857,0.929577,0.927475,0.927506,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
20,RUN_2,split 70/30,0.3,21,0.001,25,0.528986,0.727273,0.114286,0.197531,0.432099,0.428699,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
21,RUN_2,split 70/30,0.3,21,0.001,50,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
22,RUN_2,split 70/30,0.3,21,0.001,75,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
23,RUN_2,split 70/30,0.3,21,0.001,100,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
24,RUN_3,split 60/40,0.4,21,0.01,25,0.508197,0.636364,0.075269,0.134615,0.395552,0.391274,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
