Rule,IF,THEN y =
1,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,+14.0073*Clump Thickness +95.7057*Uniformity of Cell Size -244.8819*Uniformity of Cell Shape -252.4485
2,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-38.8306*Clump Thickness +73.9838*Uniformity of Cell Size -481.6884*Uniformity of Cell Shape +504.2706
3,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,-58.5307*Clump Thickness -39.0689*Uniformity of Cell Size +56.7921*Uniformity of Cell Shape -73.7216
4,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,+9.2682*Clump Thickness +103.9490*Uniformity of Cell Size -14.1608*Uniformity of Cell Shape -232.4029
5,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,-38.0127*Clump Thickness +291.3802*Uniformity of Cell Size -77.1796*Uniformity of Cell Shape -165.5122
6,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,+7.1045*Clump Thickness -123.5440*Uniformity of Cell Size +38.1543*Uniformity of Cell Shape +71.8345
7,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,-49.1026*Clump Thickness -145.2528*Uniformity of Cell Size -109.0308*Uniformity of Cell Shape -1.8790
8,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,-173.6558*Clump Thickness -189.0280*Uniformity of Cell Size -165.2498*Uniformity of Cell Shape +8.0620
9,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-170.1547*Clump Thickness +259.9924*Uniformity of Cell Size -167.6100*Uniformity of Cell Shape -187.6487
10,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,+25.2589*Clump Thickness +1.2936*Uniformity of Cell Size +126.4609*Uniformity of Cell Shape +207.9974
11,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-93.1213*Clump Thickness +145.7162*Uniformity of Cell Size +137.2495*Uniformity of Cell Shape -53.5510
12,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,-178.4523*Clump Thickness -269.0003*Uniformity of Cell Size +137.0935*Uniformity of Cell Shape +156.6712
13,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,-26.7507*Clump Thickness +83.3306*Uniformity of Cell Size -74.8235*Uniformity of Cell Shape -140.0446
14,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,+82.9696*Clump Thickness -24.5740*Uniformity of Cell Size -76.9981*Uniformity of Cell Shape +9.9135
15,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,-159.3900*Clump Thickness +141.3186*Uniformity of Cell Size -87.9613*Uniformity of Cell Shape +145.0324
16,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,-99.2971*Clump Thickness +70.2531*Uniformity of Cell Size -32.1765*Uniformity of Cell Shape +63.5709
17,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,-108.3252*Clump Thickness +50.6622*Uniformity of Cell Size +28.1296*Uniformity of Cell Shape +12.0302
18,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-27.5436*Clump Thickness +11.0560*Uniformity of Cell Size -27.3790*Uniformity of Cell Shape +42.5235
19,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,-40.2489*Clump Thickness +42.3526*Uniformity of Cell Size -194.6699*Uniformity of Cell Shape -252.3611
20,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-8.4746*Clump Thickness -231.8901*Uniformity of Cell Size -223.1931*Uniformity of Cell Shape +180.3568
21,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,+193.4507*Clump Thickness +206.8371*Uniformity of Cell Size -56.5854*Uniformity of Cell Shape -165.2598
22,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,+65.0740*Clump Thickness -27.7457*Uniformity of Cell Size -24.5056*Uniformity of Cell Shape -70.2272
23,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,-42.6950*Clump Thickness -106.1442*Uniformity of Cell Size +15.3246*Uniformity of Cell Shape +189.2164
24,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,-90.4526*Clump Thickness -30.2599*Uniformity of Cell Size +30.8487*Uniformity of Cell Shape +197.4897
25,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,+27.6678*Clump Thickness +4.6664*Uniformity of Cell Size +69.3991*Uniformity of Cell Shape -35.9367
26,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,+44.5969*Clump Thickness -64.8442*Uniformity of Cell Size +19.6576*Uniformity of Cell Shape +98.9956
27,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-7.5173*Clump Thickness +8.3368*Uniformity of Cell Size +16.1195*Uniformity of Cell Shape -31.9140
