split_ratio,test_size,train_size,test_n,learning_rate,epochs,test_accuracy,test_accuracy_pct
80-20,0.2,530,133,0.001,25,0.8872180451127819,88.72
80-20,0.2,530,133,0.001,50,0.9097744360902256,90.98
80-20,0.2,530,133,0.001,75,0.8872180451127819,88.72
80-20,0.2,530,133,0.001,100,0.8872180451127819,88.72
80-20,0.2,530,133,0.01,25,0.8872180451127819,88.72
80-20,0.2,530,133,0.01,50,0.9022556390977443,90.23
80-20,0.2,530,133,0.01,75,0.9097744360902256,90.98
80-20,0.2,530,133,0.01,100,0.9323308270676691,93.23
80-20,0.2,530,133,0.05,25,0.9398496240601504,93.98
80-20,0.2,530,133,0.05,50,0.9398496240601504,93.98
80-20,0.2,530,133,0.05,75,0.9548872180451128,95.49
80-20,0.2,530,133,0.05,100,0.9548872180451128,95.49
70-30,0.3,464,199,0.001,25,0.8894472361809045,88.94
70-30,0.3,464,199,0.001,50,0.8894472361809045,88.94
70-30,0.3,464,199,0.001,75,0.9095477386934674,90.95
70-30,0.3,464,199,0.001,100,0.9095477386934674,90.95
70-30,0.3,464,199,0.01,25,0.914572864321608,91.46
70-30,0.3,464,199,0.01,50,0.914572864321608,91.46
70-30,0.3,464,199,0.01,75,0.9095477386934674,90.95
70-30,0.3,464,199,0.01,100,0.9095477386934674,90.95
70-30,0.3,464,199,0.05,25,0.9095477386934674,90.95
70-30,0.3,464,199,0.05,50,0.9296482412060302,92.96
70-30,0.3,464,199,0.05,75,0.8844221105527639,88.44
70-30,0.3,464,199,0.05,100,0.9195979899497487,91.96
60-40,0.4,397,266,0.001,25,0.8947368421052632,89.47
60-40,0.4,397,266,0.001,50,0.8947368421052632,89.47
60-40,0.4,397,266,0.001,75,0.8947368421052632,89.47
60-40,0.4,397,266,0.001,100,0.8947368421052632,89.47
60-40,0.4,397,266,0.01,25,0.8984962406015038,89.85
60-40,0.4,397,266,0.01,50,0.8984962406015038,89.85
60-40,0.4,397,266,0.01,75,0.8646616541353384,86.47
60-40,0.4,397,266,0.01,100,0.8646616541353384,86.47
60-40,0.4,397,266,0.05,25,0.8609022556390977,86.09
60-40,0.4,397,266,0.05,50,0.8458646616541353,84.59
60-40,0.4,397,266,0.05,75,0.849624060150376,84.96
60-40,0.4,397,266,0.05,100,0.9210526315789473,92.11
